PGN,Label,InDBC
F12A,DC/AC Accessory Inverter 3 Feedback 2,J1939 DBC
F12B,DC/AC Accessory Inverter 4 Status 2,J1939 DBC
F12C,DC/AC Accessory Inverter 4 Voltage,J1939 DBC
F12D,DC/AC Accessory Inverter 4 Feedback 2,J1939 DBC
F12E,DC/AC Accessory Inverter 5 Command,J1939 DBC
F12F,DC/AC Accessory Inverter 5 Feedback,J1939 DBC
F130,DC/AC Accessory Inverter 5 Status 2,J1939 DBC
F131,DC/AC Accessory Inverter 5 Voltage,J1939 DBC
F132,DC/AC Accessory Inverter 5 Feedback 2,J1939 DBC
F133,Engine Pre-Chamber Fuel Valve Duration Command 1,J1939 DBC
F134,Engine Pre-Chamber Fuel Valve Duration Command 2,J1939 DBC
F135,Engine Pre-Chamber Fuel Valve Duration Command 3,J1939 DBC
F136,Engine Pre-Chamber Fuel Valve Duration Command 4,J1939 DBC
F137,Engine Pre-Chamber Fuel Valve Duration Command 5,J1939 DBC
F138,Engine Pre-Chamber Fuel Valve Start of Actuation Command 1,J1939 DBC
F139,Engine Pre-Chamber Fuel Valve Start of Actuation Command 2,J1939 DBC
F13A,Engine Pre-Chamber Fuel Valve Start of Actuation Command 3,J1939 DBC
F13B,Engine Pre-Chamber Fuel Valve Start of Actuation Command 4,J1939 DBC
F13C,Engine Pre-Chamber Fuel Valve Start of Actuation Command 5,J1939 DBC
F13D,Active Steering System Controls 1,J1939 DBC
F13E,Secondary or Front Hitch Yaw command,ISOBUS DBC (2022-08)
F13F,Primary or Rear Hitch Yaw command,ISOBUS DBC (2022-08)
F140,Stationary Inverter Average Basic AC Quantities,J1939 DBC
F141,Stationary Inverter Total AC Reactive Power,J1939 DBC
F142,Stationary Inverter Total AC Power,J1939 DBC
F143,Stationary Inverter Control,J1939 DBC
F144,Stationary Inverter to Bus Sync Check Status,J1939 DBC
F145,Engine Cylinder 1 Combustion Pressures,J1939 DBC
F146,Engine Cylinder 2 Combustion Pressures,J1939 DBC
F147,Engine Cylinder 3 Combustion Pressures,J1939 DBC
F148,Engine Cylinder 4 Combustion Pressures,J1939 DBC
F149,Engine Cylinder 5 Combustion Pressures,J1939 DBC
F14A,Engine Cylinder 6 Combustion Pressures,J1939 DBC
F14B,Engine Cylinder 7 Combustion Pressures,J1939 DBC
F14C,Engine Cylinder 8 Combustion Pressures,J1939 DBC
F14D,Engine Cylinder 9 Combustion Pressures,J1939 DBC
F14E,Engine Cylinder 10 Combustion Pressures,J1939 DBC
F14F,Engine Cylinder 11 Combustion Pressures,J1939 DBC
F150,Engine Cylinder 12 Combustion Pressures,J1939 DBC
F151,Engine Cylinder 13 Combustion Pressures,J1939 DBC
F152,Engine Cylinder 14 Combustion Pressures,J1939 DBC
F153,Engine Cylinder 15 Combustion Pressures,J1939 DBC
F154,Engine Cylinder 16 Combustion Pressures,J1939 DBC
F155,Engine Cylinder 17 Combustion Pressures,J1939 DBC
F156,Engine Cylinder 18 Combustion Pressures,J1939 DBC
F157,Engine Cylinder 19 Combustion Pressures,J1939 DBC
F158,Engine Cylinder 20 Combustion Pressures,J1939 DBC
F159,Engine Cylinder 1 Combustion Timing,J1939 DBC
F15A,Engine Cylinder 2 Combustion Timing,J1939 DBC
F15B,Engine Cylinder 3 Combustion Timing,J1939 DBC
F15C,Engine Cylinder 4 Combustion Timing,J1939 DBC
F15D,Engine Cylinder 5 Combustion Timing,J1939 DBC
F15E,Engine Cylinder 6 Combustion Timing,J1939 DBC
F15F,Engine Cylinder 7 Combustion Timing,J1939 DBC
F160,Engine Cylinder 8 Combustion Timing,J1939 DBC
F161,Engine Cylinder 9 Combustion Timing,J1939 DBC
F162,Engine Cylinder 10 Combustion Timing,J1939 DBC
F163,Engine Cylinder 11 Combustion Timing,J1939 DBC
F164,Engine Cylinder 12 Combustion Timing,J1939 DBC
F165,Engine Cylinder 13 Combustion Timing,J1939 DBC
F166,Engine Cylinder 14 Combustion Timing,J1939 DBC
F167,Engine Cylinder 15 Combustion Timing,J1939 DBC
F168,Engine Cylinder 16 Combustion Timing,J1939 DBC
F169,Engine Cylinder 17 Combustion Timing,J1939 DBC
F16A,Engine Cylinder 18 Combustion Timing,J1939 DBC
F16B,Engine Cylinder 19 Combustion Timing,J1939 DBC
F16C,Engine Cylinder 20 Combustion Timing,J1939 DBC
F16D,Engine Cylinder 1 Combustion Metrics,J1939 DBC
